year,term,section,instructor,time,Curric,room
2012,Summer,1,Lindsey,,CATALST,regular
2012,Summer,2,Schaefer,,DeVeaux,regular
2012,Summer,3,Swanson,,DeVeaux,regular
2012,Summer,4,Akapame,,DeVeaux,online
2012,Summer,5,Talke,,DeVeaux,online
2012,Summer,6,Weeding,,DeVeaux,online
2012,Summer,7,Manlove,,DeVeaux,regular
2012,Summer,8,Nordby,,DeVeaux,regular
2012,Summer,9,Samuels,,DeVeaux,regular
2012,Summer,10,Keren,,DeVeaux,online
2012,Summer,11,Diemert,,DeVeaux,online
2012,Summer,12,Schmidt,,DeVeaux,online
2012,Fall,1,Paz,800,DeVeaux,regular
2012,Fall,2,Peck,800,DeVeaux,regular
2012,Fall,3,Lindsey,800,CATALST,regular
2012,Fall,4,Lerch,900,DeVeaux,regular
2012,Fall,5,Swanson,900,DeVeaux,regular
2012,Fall,6,Lindsey,925,CATALST,regular
2012,Fall,7,Paz,1000,DeVeaux,regular
2012,Fall,8,Yager,1000,DeVeaux,regular
2012,Fall,9,Paz,1100,DeVeaux,regular
2012,Fall,10,Lauriski,1100,DeVeaux,regular
2012,Fall,11,Lindsey,1050,CATALST,regular
2012,Fall,12,Graham,1200,DeVeaux,regular
2012,Fall,13,Akapame,1200,DeVeaux,regular
2012,Fall,14,Paz,1215,DeVeaux,regular
2012,Fall,15,Hayes,1310,DeVeaux,regular
2012,Fall,16,Graham,1310,DeVeaux,regular
2012,Fall,17,Nuxoll,1410,DeVeaux,regular
2012,Fall,18,Tyers,1510,DeVeaux,regular
2012,Fall,19,Schaefer,1410,DeVeaux,regular
2012,Fall,20,Hayes,1340,DeVeaux,regular
2012,Fall,21,Paterson,1810,DeVeaux,regular
2013,Spring,2,Schaefer,9,DeVeaux,regular
2013,Spring,3,Lindsey,8,CATALST,TEAL
2013,Spring,4,Lerch,9.4,DeVeaux,regular
2013,Spring,5,Paz,10,DeVeaux,regular
2013,Spring,6,Lindsey,9.4,CATALST,TEAL
2013,Spring,7,Yager,10,DeVeaux,regular
2013,Spring,8,Paz,11,DeVeaux,regular
2013,Spring,9,Schmidt,12.25,CATALST,TEAL
2013,Spring,10,Yager,11,DeVeaux,regular
2013,Spring,11,Akapame,10.8,DeVeaux,regular
2013,Spring,12,Paz,12,DeVeaux,regular
2013,Spring,13,Lindsey,12.25,CATALST,regular
2013,Spring,14,Nuxoll,13.2,DeVeaux,regular
2013,Spring,15,Schmidt,15,CATALST,TEAL
2013,Spring,16,Paz,14.1,DeVeaux,regular
2013,Spring,17,Tyers,13.6,DeVeaux,regular
2013,Spring,18,Paterson,18,DeVeaux,regular
2013,Summer,1,Banner,,CATALST,TEAL
