ACT_MATH,SAT_MATH,MATH_PLCMNT,MaxOfMATH_TERM,MATH_SUBJ,MATH_CRSE,Math_Grde,MaxOfSTAT_TERM,STAT_SUBJ,STAT_CRSE,Stat_Grde,APCALCGRDE,APSTATGRDE,PREVGPA,curric,GPAgrade
32,NA,NA,201470,M,172Q,A,NA,,,,TA,,4,Lock,4
20,570,NA,201470,M,171Q,A,NA,,,,,,4,Lock,4
35,760,NA,NA,,,,NA,,,,,,4,Lock,4
27,540,NA,201470,M,161Q,A,NA,,,,,,4,Lock,4
28,NA,NA,201470,M,161Q,A,NA,,,,,,4,Lock,4
24,NA,NA,201470,M,171Q,A,NA,,,,,,4,Lock,4
NA,NA,NA,NA,,,,NA,,,,,,4,Lock,4
NA,800,NA,NA,,,,NA,,,,TP,,4,Lock,4
NA,NA,NA,NA,,,,NA,,,,,,4,Lock,4
NA,530,NA,NA,,,,NA,,,,,,4,Lock,3.7
19,NA,3,201470,M,145Q,A,NA,,,,,,4,Lock,3
32,NA,NA,201470,M,172Q,A,NA,,,,TA,,4,Lock,4
20,570,NA,201470,M,171Q,A,NA,,,,,,4,Lock,4
35,760,NA,NA,,,,NA,,,,,,4,Lock,4
27,540,NA,201470,M,161Q,A,NA,,,,,,4,Lock,4
28,NA,NA,201470,M,161Q,A,NA,,,,,,4,Lock,4
24,NA,NA,201470,M,171Q,A,NA,,,,,,4,Lock,4
NA,NA,NA,NA,,,,NA,,,,,,4,Lock,4
NA,800,NA,NA,,,,NA,,,,TP,,4,Lock,4
NA,NA,NA,NA,,,,NA,,,,,,4,Lock,4
NA,530,NA,NA,,,,NA,,,,,,4,Lock,3.7
19,NA,3,201470,M,145Q,A,NA,,,,,,4,Lock,3
33,NA,NA,201470,M,161Q,C,NA,,,,,,3.2,Lock,1
30,NA,NA,201470,M,161Q,A,NA,,,,TP,,3.71,Lock,4
NA,NA,2,201430,M,121Q,A,NA,,,,,,3.73,Lock,3
24,NA,NA,201470,M,221,B+,NA,,,,TB,,3.71,Lock,1
26,520,NA,201370,M,145Q,A,NA,,,,,,3.73,Lock,0
25,NA,3,201150,M,151Q,B-,NA,,,,,,2.61,Lock,2.7
19,NA,NA,201450,M,274,B-,NA,,,,,,2.61,Lock,2.7
18,NA,3,201430,M,161Q,C,NA,,,,,,2.61,Lock,2
NA,NA,3,201470,M,121Q,C,NA,,,,,,2.61,Lock,0
32,NA,NA,201470,M,172Q,A,NA,,,,TA,,4,Lock,4
20,570,NA,201470,M,171Q,A,NA,,,,,,4,Lock,4
35,760,NA,NA,,,,NA,,,,,,4,Lock,4
27,540,NA,201470,M,161Q,A,NA,,,,,,4,Lock,4
28,NA,NA,201470,M,161Q,A,NA,,,,,,4,Lock,4
24,NA,NA,201470,M,171Q,A,NA,,,,,,4,Lock,4
NA,NA,NA,NA,,,,NA,,,,,,4,Lock,4
NA,800,NA,NA,,,,NA,,,,TP,,4,Lock,4
NA,NA,NA,NA,,,,NA,,,,,,4,Lock,4
NA,530,NA,NA,,,,NA,,,,,,4,Lock,3.7
19,NA,3,201470,M,145Q,A,NA,,,,,,4,Lock,3
20,430,3,201430,M,161Q,C,NA,,,,,,2.36,Lock,2.7
20,530,NA,201470,M,121Q,C,NA,,,,,,2.34,Lock,2
33,NA,NA,NA,,,,NA,,,,,,2.36,Lock,0
22,NA,NA,201250,M,121Q,A,NA,,,,,,3.92,Lock,4
35,NA,NA,NA,,,,NA,,,,,,3.92,Lock,4
18,NA,1,201530,M,151Q,A,NA,,,,,,3.92,Lock,3.7
NA,680,NA,201470,M,151Q,A-,NA,,,,,,3.92,Lock,3.7
27,630,1,201470,M,121Q,A,NA,,,,,,3.92,Lock,3.7
32,NA,NA,201430,M,145Q,A,NA,,,,,,3.86,Lock,4
25,NA,5,201530,M,234,A,NA,,,,,,3.86,Lock,4
31,800,NA,201530,M,171Q,A,NA,,,,,,3.86,Lock,3.7
32,NA,NA,NA,,,,NA,,,,TP,,3.86,Lock,2.7
24,600,NA,201370,M,161Q,B,NA,,,,,TP,3.42,Lock,4
29,NA,NA,201530,M,172Q,A,NA,,,,,,3.42,Lock,4
26,NA,NA,201470,M,161Q,A,NA,,,,,,3.42,Lock,3
21,NA,NA,201470,M,121Q,A,NA,,,,,,3.42,Lock,2.7
27,NA,NA,NA,,,,NA,,,,,,3.42,Lock,2.3
22,NA,NA,201250,M,121Q,A,NA,,,,,,3.92,Lock,4
35,NA,NA,NA,,,,NA,,,,,,3.92,Lock,4
18,NA,1,201530,M,151Q,A,NA,,,,,,3.92,Lock,3.7
NA,680,NA,201470,M,151Q,A-,NA,,,,,,3.92,Lock,3.7
27,630,1,201470,M,121Q,A,NA,,,,,,3.92,Lock,3.7
32,NA,NA,201470,M,172Q,A,NA,,,,TA,,4,Lock,4
20,570,NA,201470,M,171Q,A,NA,,,,,,4,Lock,4
35,760,NA,NA,,,,NA,,,,,,4,Lock,4
27,540,NA,201470,M,161Q,A,NA,,,,,,4,Lock,4
28,NA,NA,201470,M,161Q,A,NA,,,,,,4,Lock,4
24,NA,NA,201470,M,171Q,A,NA,,,,,,4,Lock,4
NA,NA,NA,NA,,,,NA,,,,,,4,Lock,4
NA,800,NA,NA,,,,NA,,,,TP,,4,Lock,4
NA,NA,NA,NA,,,,NA,,,,,,4,Lock,4
NA,530,NA,NA,,,,NA,,,,,,4,Lock,3.7
19,NA,3,201470,M,145Q,A,NA,,,,,,4,Lock,3
31,680,NA,201530,M,172Q,B,NA,,,,,,3.83,Lock,3.3
28,NA,NA,NA,,,,NA,,,,,,3.83,Lock,3.3
33,NA,NA,201470,M,161Q,C,NA,,,,,,3.2,Lock,1
32,NA,NA,201470,M,172Q,A,NA,,,,TA,,4,Lock,4
20,570,NA,201470,M,171Q,A,NA,,,,,,4,Lock,4
35,760,NA,NA,,,,NA,,,,,,4,Lock,4
27,540,NA,201470,M,161Q,A,NA,,,,,,4,Lock,4
28,NA,NA,201470,M,161Q,A,NA,,,,,,4,Lock,4
24,NA,NA,201470,M,171Q,A,NA,,,,,,4,Lock,4
NA,NA,NA,NA,,,,NA,,,,,,4,Lock,4
NA,800,NA,NA,,,,NA,,,,TP,,4,Lock,4
NA,NA,NA,NA,,,,NA,,,,,,4,Lock,4
NA,530,NA,NA,,,,NA,,,,,,4,Lock,3.7
19,NA,3,201470,M,145Q,A,NA,,,,,,4,Lock,3
32,NA,NA,201470,M,172Q,A,NA,,,,TA,,4,Lock,4
20,570,NA,201470,M,171Q,A,NA,,,,,,4,Lock,4
35,760,NA,NA,,,,NA,,,,,,4,Lock,4
27,540,NA,201470,M,161Q,A,NA,,,,,,4,Lock,4
28,NA,NA,201470,M,161Q,A,NA,,,,,,4,Lock,4
24,NA,NA,201470,M,171Q,A,NA,,,,,,4,Lock,4
NA,NA,NA,NA,,,,NA,,,,,,4,Lock,4
NA,800,NA,NA,,,,NA,,,,TP,,4,Lock,4
NA,NA,NA,NA,,,,NA,,,,,,4,Lock,4
NA,530,NA,NA,,,,NA,,,,,,4,Lock,3.7
19,NA,3,201470,M,145Q,A,NA,,,,,,4,Lock,3
22,NA,3,201470,M,145Q,A-,NA,,,,,,3.26,Lock,0
32,NA,NA,201470,M,172Q,A-,NA,,,,TP,,3.75,Lock,3.7
30,NA,NA,201430,M,161Q,A,NA,,,,,,3.8,Lock,4
28,NA,NA,201470,M,171Q,B+,NA,,,,,,3.8,Lock,3.7
30,NA,NA,201470,M,161Q,A,NA,,,,,,3.78,Lock,3
18,NA,NA,201470,M,273Q,A-,NA,,,,,,3.78,Lock,3.3
22,NA,NA,201370,M,145Q,C+,NA,,,,,,3.78,Lock,1
22,NA,NA,NA,,,,NA,,,,TB,,3.06,Lock,3
26,NA,NA,NA,,,,NA,,,,,,3.06,Lock,2
15,NA,2,201430,M,121Q,A,NA,,,,,,3.06,Lock,2
33,NA,NA,201470,M,171Q,A-,NA,,,,,,3.85,Lock,3.3
31,680,NA,201530,M,172Q,B,NA,,,,,,3.83,Lock,3.3
28,NA,NA,NA,,,,NA,,,,,,3.83,Lock,3.3
27,NA,NA,201470,M,171Q,C,NA,,,,,,3.28,Lock,2
22,NA,3,201470,M,145Q,A-,NA,,,,,,3.26,Lock,0
29,670,NA,201470,M,171Q,A-,NA,,,,TP,,3.88,Lock,4
NA,NA,NA,NA,,,,NA,,,,,,3.9,Lock,4
29,NA,NA,NA,,,,NA,,,,TP,,3.88,Lock,4
23,NA,NA,201470,M,161Q,A,NA,,,,,,3.88,Lock,4
26,NA,NA,201530,M,133Q,A,NA,,,,,,3.88,Lock,2.7
24,470,NA,201470,M,274,B-,NA,,,,,,3.33,Lock,3
NA,NA,4,201450,M,161Q,B-,NA,,,,,,3.09,Lock,2
